stat_date,code,market,listed_date,symbol,type,de_listed_date,exchange
2026-01-05,159396.XSHE,CN,2025-02-06,博时深证基准做市信用债ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159397.XSHE,CN,2025-02-07,广发深证基准做市信用债ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159398.XSHE,CN,2025-02-06,天弘深证基准做市信用债ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159399.XSHE,CN,2025-02-27,国泰富时中国A股自由现金流聚焦ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159400.XSHE,CN,2025-07-17,景顺长城深证AAA科技创新公司债ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159500.XSHE,CN,2025-08-29,富国中证500ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159501.XSHE,CN,2023-06-14,嘉实纳斯达克100ETF(QDII),ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159502.XSHE,CN,2024-01-10,嘉实标普生物科技精选行业ETF(QDII),ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159505.XSHE,CN,2023-12-04,博时国证2000ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159506.XSHE,CN,2023-07-03,富国恒生港股通创新药及医疗保健ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159507.XSHE,CN,2023-06-21,广发国证通信ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159508.XSHE,CN,2023-07-14,华安国证生物医药ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159509.XSHE,CN,2023-08-08,景顺长城纳斯达克科技ETF(QDII),ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159510.XSHE,CN,2023-08-16,华夏中证智选300价值稳健策略ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159511.XSHE,CN,2023-08-07,南方中证通信服务ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159512.XSHE,CN,2023-07-25,广发中证全指汽车ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159513.XSHE,CN,2023-07-28,大成纳斯达克100ETF(QDII),ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159515.XSHE,CN,2023-09-06,鹏扬中证国有企业红利ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159516.XSHE,CN,2023-07-27,国泰中证半导体材料设备主题ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159517.XSHE,CN,2023-09-05,800增强ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159518.XSHE,CN,2023-11-15,嘉实标普石油天然气勘探及生产精选行业ETF(QDII),ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159519.XSHE,CN,2023-08-31,国泰中证香港内地国有企业ETF(QDII),ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159520.XSHE,CN,2023-10-31,消费龙头ETF工银,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159521.XSHE,CN,2023-09-07,平安国证2000ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159523.XSHE,CN,2023-09-19,华夏中证智选300成长创新策略ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159525.XSHE,CN,2024-05-20,富国中证红利低波动ETF,ETF,2999-12-31 00:00:00,XSHE
